#Table1
u,g,r,i,z,redshift,class
21.30963,18.59896,17.32983,16.84787,16.58038,-1.165655E-05,STAR
23.34784,20.41723,18.88163,17.91503,17.39,0.0002725764,STAR
23.19437,20.96017,19.02033,18.36355,17.94044,0.362537,GALAXY
21.47916,20.32533,19.30103,18.84347,18.59745,0.1929544,GALAXY
24.60322,21.74273,20.24235,19.28474,19.20071,0.000236313,STAR
24.4556,21.4144,19.61666,18.99803,18.69431,0.386914,GALAXY
25.35621,21.80307,20.21132,19.23495,18.7262,0.0003300613,STAR
20.4396,20.2228,20.02551,19.93997,19.6018,2.075482,QSO
25.3217,22.02923,20.11745,19.33871,18.77771,0.3628692,GALAXY
22.23308,20.40566,19.37439,18.8624,18.53731,0.2049673,GALAXY
23.29619,22.072,21.6524,21.45624,21.18894,0.002422663,STAR
23.68204,22.11832,20.06993,19.24133,18.86717,0.4823599,GALAXY
21.77736,20.13256,19.46241,19.11455,18.92428,0.1679326,GALAXY
24.10553,22.49902,20.46831,19.59871,19.15559,0.5567059,GALAXY
23.15284,22.53863,20.77219,19.79738,19.34302,0.4849513,GALAXY
23.04245,22.19691,21.87008,21.5767,21.80846,0.001502472,STAR
25.40797,23.71023,21.42398,20.37728,19.76764,0.5709642,GALAXY
25.67887,22.58218,20.60568,19.60645,19.0595,0.5591791,GALAXY
20.63678,19.31936,18.74574,18.43351,18.23024,0.09752747,GALAXY
18.08884,16.77694,16.28134,16.09963,16.03073,0.0001737033,STAR
18.35307,17.20436,16.7802,16.59563,16.52967,-2.897311E-05,STAR
21.50394,18.97571,17.6307,17.12607,16.76579,0.1937556,GALAXY
18.80733,17.51745,16.94362,16.70213,16.56415,-0.0001066538,STAR
19.15007,17.08453,16.27119,15.97778,15.82429,0.0002093332,STAR
18.10033,16.87099,16.69033,16.64522,16.62379,-0.0001092959,STAR
19.79825,18.61667,18.15596,17.99292,17.95628,0.0001386673,STAR
21.62943,19.31051,17.88674,17.38304,17.01179,0.1924854,GALAXY
21.4238,19.13588,17.8806,17.36838,17.0703,-5.095993E-05,STAR
22.2282,20.70916,18.85493,18.24949,17.81279,0.3199043,GALAXY
24.72058,21.7325,20.07193,19.09774,18.72012,0.4894813,GALAXY
24.04875,21.6041,20.17005,19.14028,18.64162,0.0001107285,STAR
24.49564,21.92828,20.33168,18.98475,18.3538,-9.106105E-05,STAR
23.50619,23.39567,22.15797,20.52247,19.65341,-0.0001154315,STAR
22.17316,20.57766,19.79833,19.47418,19.38945,0.1918235,GALAXY
23.74948,22.2877,20.68152,19.80592,19.50093,0.4874431,GALAXY
22.7253,22.19323,21.83206,21.87394,21.48273,0.8851474,GALAXY
23.32228,22.52022,20.93386,20.0271,19.45595,0.5204872,GALAXY
21.60315,20.32119,19.44746,19.08337,18.74983,0.194757,GALAXY
24.21151,21.8705,20.08655,19.1903,18.62179,0.4889229,GALAXY
22.85563,22.14826,20.95484,19.83009,19.32058,0.7008268,GALAXY
23.5926,23.90849,21.91692,20.56292,20.07398,0.6529384,GALAXY
25.41204,23.24486,21.01637,20.15153,19.86028,0.4953057,GALAXY
21.32274,21.01563,20.54511,20.35652,20.29458,1.46279,QSO
19.16749,18.55299,17.69763,17.3443,17.09744,4.768638E-05,STAR
19.42838,17.75452,17.11396,16.88803,16.73496,2.362465E-05,STAR
18.52349,17.48975,16.90494,16.73441,16.59008,-0.0007702046,STAR
24.83156,24.73596,22.99377,21.91231,21.72227,0.001689656,STAR
21.44711,20.11105,19.57516,19.36887,17.19756,1.45852E-05,STAR
19.9204,17.23539,15.97411,15.5109,15.23752,1.052324E-05,STAR
18.80279,17.16058,16.46665,16.05672,15.76566,0.03758542,GALAXY
19.20572,18.09703,17.64738,17.3227,17.13651,0.07229859,GALAXY
23.32992,20.30639,19.04545,18.55317,18.29725,0.0001125917,STAR
23.55408,20.14638,18.64859,17.80626,17.33421,0.0001494824,STAR
25.04373,22.39899,20.54682,19.46009,19.01302,0.56362,GALAXY
25.68626,22.25525,20.41874,19.46585,18.84796,0.557198,GALAXY
20.88138,19.82068,19.30403,19.03388,18.85489,0.04028767,GALAXY
24.27831,21.36653,19.88224,19.27241,18.80333,0.2354207,GALAXY
20.6919,19.54673,19.12682,18.78576,18.70177,0.06966651,GALAXY
20.96905,19.88452,19.40444,19.22271,19.14465,-0.0003128714,STAR
22.75924,20.28212,18.63762,18.01359,17.61793,0.31939,GALAXY
21.84579,19.63136,18.03163,17.5081,17.14972,0.2340064,GALAXY
20.44703,18.97001,17.96656,17.52033,17.18704,0.1565527,GALAXY
23.47348,21.07749,19.58546,19.0394,18.74038,0.2467968,GALAXY
21.97008,20.89837,20.16826,19.73902,19.55495,0.2062213,GALAXY
20.82793,19.8942,19.06012,18.65929,18.39809,0.2571105,GALAXY
21.67989,20.72423,19.40477,18.87724,18.32142,0.3184125,GALAXY
23.24353,22.50735,20.56401,19.55636,19.10344,0.5197084,GALAXY
26.09405,22.99531,21.67426,20.29353,19.82452,0.632341,GALAXY
21.48819,19.45449,18.68537,18.25518,17.93055,0.1247911,GALAXY
23.07501,20.75315,19.3451,18.77618,18.40933,0.2346988,GALAXY
24.64942,21.21463,19.80365,19.2552,18.86543,4.517605,QSO
24.49163,22.7601,20.86932,20.12712,19.69224,0.5172601,GALAXY
25.8075,22.37801,20.77079,19.69339,19.24632,0.5529073,GALAXY
24.45649,22.23778,20.46775,19.61243,19.10474,0.5151852,GALAXY
22.78838,22.06781,21.60217,21.36474,21.90955,0.1769511,QSO
20.81871,19.80426,19.3131,19.0015,18.79415,0.07245063,GALAXY
25.23061,22.7448,21.08444,20.24116,19.61606,0.6837234,QSO
27.01075,22.58065,20.57492,19.55413,19.15877,0.5342913,GALAXY
26.47941,22.99994,21.03493,20.27105,19.5928,-0.01019341,GALAXY
24.33942,24.80292,22.06076,20.39502,19.63455,0.0002616285,STAR
17.34062,15.97131,15.43069,15.21917,15.09811,6.843303E-05,STAR
24.23063,22.15757,20.73727,19.75316,19.0605,0.5104712,GALAXY
23.80208,24.32155,20.87189,19.91217,19.4596,0.5120919,GALAXY
20.83037,18.57212,17.50369,17.10189,16.83505,3.940467E-05,STAR
19.10415,17.34366,16.53993,16.2379,16.06456,5.993259E-07,STAR
23.44068,20.98102,19.55524,19.04727,18.76338,-6.034362E-05,STAR
20.8202,20.33122,20.17134,19.91962,19.74282,1.965866,QSO
20.19518,18.65395,17.99104,17.72942,17.54544,-0.0003722281,STAR
21.93901,19.3522,18.08714,17.61568,17.31833,2.039649E-05,STAR
20.48952,19.25518,18.76454,18.47319,18.3448,0.1000678,GALAXY
19.80442,18.22081,17.36597,16.85783,16.49876,0.1001597,GALAXY
20.48563,20.22805,19.67087,19.58676,19.65893,1.260721,QSO
19.45624,17.6463,16.66085,16.17872,15.78058,0.1004212,GALAXY
21.23544,20.07334,19.53707,19.28469,19.15002,0.0001391048,STAR
23.83007,20.76669,19.50969,18.98332,18.66773,-6.528787E-05,STAR
22.57253,20.94629,19.66054,19.10669,18.68313,0.2212657,GALAXY
23.09788,20.5372,18.89228,17.83078,17.22878,4.943197E-05,STAR
21.77708,19.76295,18.6496,18.1313,17.70912,0.2322204,GALAXY
22.77302,20.82957,19.1693,18.49146,18.05185,0.2960689,GALAXY
22.87176,21.10829,19.38188,18.75069,18.23504,0.4989644,GALAXY
23.08032,22.03817,20.34007,19.09114,18.34528,2.997004E-05,STAR
23.99845,20.924,19.60046,19.05822,18.73656,0.2365655,GALAXY
24.63682,24.57849,23.49591,21.348,20.72275,0.5648084,GALAXY
22.93971,21.47115,20.74217,19.94663,19.78363,0.5649027,QSO
23.25335,21.50351,21.10036,20.68939,20.35633,0.6499321,QSO
23.28382,22.02748,21.70843,21.34086,21.20753,-0.001727331,STAR
21.96603,20.87581,19.63645,19.10064,18.7565,0.220584,GALAXY
22.08489,20.52052,19.5039,19.08149,18.82595,0.2344383,GALAXY
22.80979,21.05684,20.14858,19.76475,19.22814,0.3496149,GALAXY
25.86043,21.92327,20.26562,19.40957,18.93567,0.4977724,GALAXY
24.15168,23.26981,21.5075,20.60661,19.95139,3.780458,QSO
20.76043,17.9981,16.702,16.18346,15.85072,3.121988E-05,STAR
20.1693,18.59716,17.89904,17.60375,17.42352,-0.0001067912,STAR
19.86927,19.43554,19.16166,18.87512,18.80886,1.556646,QSO
21.01428,19.36103,18.25532,17.66247,17.27037,0.1799769,GALAXY
21.37247,19.38461,18.0192,17.47725,17.06589,0.1808734,GALAXY
20.16196,18.71461,18.09359,17.84475,17.73153,2.083947E-05,STAR
21.97339,19.25714,17.66804,17.13443,16.7034,0.2340349,GALAXY
21.07576,19.39794,18.30614,17.84457,17.4768,0.1430185,GALAXY
23.46143,20.40857,18.90869,18.26839,17.89275,-6.319199E-05,STAR
22.87431,20.97515,19.45356,18.91508,18.53355,0.2367941,GALAXY
23.0044,20.71241,19.46002,18.99217,18.64949,6.232964E-05,STAR
23.2987,21.16563,19.70608,18.86826,18.36315,-6.086028E-05,STAR
24.68849,24.02746,20.67708,19.48398,18.78756,0.5929832,GALAXY
22.25455,20.89135,19.4008,18.84502,18.46411,0.232616,GALAXY
23.82758,21.75098,20.19807,19.02281,18.31013,0.0001535528,STAR
20.86105,20.39502,19.9561,19.615,19.52622,1.572451,QSO
22.4477,21.60489,21.49251,21.1331,21.01831,0.2757035,GALAXY
21.01668,19.94198,19.32897,19.07611,18.90375,0.1432213,GALAXY
21.96998,21.13267,20.17767,19.97073,19.69489,0.4671482,GALAXY
21.05956,19.83601,19.27464,18.95211,18.84154,0.1671343,GALAXY
23.01768,20.81734,19.0458,18.41572,17.84751,0.4030039,GALAXY
23.75495,22.47293,22.09996,22.05597,22.36133,5.867881,QSO
22.35467,20.52505,19.70398,19.33356,19.21571,0.2103093,GALAXY
23.53709,22.97567,22.15026,21.84602,21.37027,0.003333385,STAR
21.43886,20.06842,19.58118,19.12206,20.73923,0.1391798,GALAXY
22.5492,21.89563,21.5965,21.41842,21.21165,-0.003782917,STAR
24.03745,23.08587,21.76093,20.36024,19.67747,0.7205955,GALAXY
17.42095,16.24123,15.79463,15.63077,15.5545,-5.316196E-05,STAR
20.69578,19.55765,19.17546,19.02162,18.96332,0.000420206,STAR
19.23866,16.96023,15.93041,15.5335,15.30588,0.0001056275,STAR
20.74549,19.5182,18.97693,18.76981,18.62736,0.0007085567,STAR
23.01882,20.17465,18.73802,18.19267,17.79423,0.1874663,GALAXY
25.51151,24.54266,22.37735,20.69595,20.24608,0.7056421,GALAXY
24.28811,24.73056,22.58806,20.81876,20.1521,0.6982764,GALAXY
19.71607,18.09434,17.383,17.10073,16.96968,0.0003243919,STAR
20.50351,19.34904,18.79929,18.46986,18.28808,0.1337825,GALAXY
20.62889,19.56862,19.0555,18.88797,18.76268,0.000348141,STAR
19.68658,18.14682,17.44558,17.15404,16.98137,0.0001086857,STAR
19.45194,18.04491,17.43622,17.20393,17.07049,-5.201044E-05,STAR
20.10641,18.51974,17.78331,17.49296,17.32693,2.409005E-05,STAR
20.00481,19.52804,19.3268,19.39177,19.17451,0.8454171,QSO
21.28928,19.04286,17.95141,17.48657,17.07035,0.1031233,GALAXY
19.68594,17.66147,16.76749,16.38243,16.13824,-0.0004332514,STAR
21.73818,19.50229,18.3664,17.83902,17.38301,0.105235,GALAXY
20.54302,19.38049,18.86349,18.61206,18.51156,0.0001467256,STAR
20.90079,19.76579,19.32224,19.11413,19.03759,0.0006038619,STAR
21.36058,19.61531,18.16578,17.61158,17.2455,0.229669,GALAXY
21.39361,19.93621,19.30679,18.92331,18.74448,0.1391082,GALAXY
22.13206,19.7029,18.24492,17.66947,17.25385,0.1876121,GALAXY
19.73442,18.36811,17.70731,17.30968,17.0683,0.1044729,GALAXY
22.42565,21.01844,19.22693,18.53189,18.09219,0.3090486,GALAXY
24.72327,21.96881,20.05484,19.2002,18.81478,0.4529457,GALAXY
23.07796,21.47779,19.58612,18.79561,18.3191,0.4511386,GALAXY
25.04077,21.9397,20.21272,18.84687,18.08921,2.910573E-05,STAR
22.53775,20.58142,19.34134,18.71558,18.28172,0.2927753,GALAXY
22.49836,21.66887,21.35018,21.14124,20.7326,2.165047,QSO
22.113,20.97109,20.70605,20.60301,20.6811,0.0002122333,STAR
21.93855,20.43611,20.3077,20.32464,20.25845,-0.0003986904,STAR
20.91611,19.42127,18.63779,18.22506,17.90325,0.1840059,GALAXY
22.01575,22.19654,21.11957,20.49259,20.24918,0.0037954,STAR
20.64936,20.26828,20.01014,19.72698,19.54169,1.641554,QSO
23.7525,22.07858,20.54606,19.55701,19.02991,0.5001237,GALAXY
22.96947,21.91919,21.50343,21.41087,21.01726,0.1914249,GALAXY
21.94414,20.82456,20.06116,19.63352,19.59148,0.2254989,GALAXY
24.23885,22.75607,20.93637,19.96232,19.42566,0.5027033,GALAXY
22.1092,20.87517,19.68308,19.22196,18.74438,0.3508016,GALAXY
24.0252,22.98315,21.19143,20.08575,19.4833,0.5793622,GALAXY
22.47437,20.54492,19.12745,18.6129,18.14645,0.3528302,GALAXY
22.63994,21.71916,21.25189,21.13905,20.95934,0.6898615,GALAXY
22.21047,22.10621,20.47523,19.55226,19.17496,0.4986499,GALAXY
24.89365,22.72921,20.95052,19.91889,19.28586,0.5578467,GALAXY
24.45669,24.67007,22.56058,21.44848,20.82236,0.5358268,QSO
25.16955,23.58081,22.14503,20.56545,19.64771,-0.0001018935,STAR
24.88558,24.35363,21.38328,20.29203,19.64506,0.6729151,GALAXY
26.49927,22.76686,20.95142,19.93107,19.53663,0.5277483,GALAXY
25.1295,25.20228,22.04605,21.03648,20.43899,0.4585773,GALAXY
22.67814,21.93833,21.619,21.52312,21.61768,1.398176,QSO
22.05467,19.68027,18.65359,18.23248,17.91495,0.1039954,GALAXY
20.78149,19.39791,18.34596,17.82681,17.47536,0.2149057,GALAXY
20.87063,19.12356,17.88638,17.31699,17.03969,0.2164954,GALAXY
21.47297,19.25817,17.86365,17.32006,16.92028,0.1870287,GALAXY
21.23897,19.02628,17.70022,17.17322,16.7606,0.1802894,GALAXY
21.89331,19.09695,17.62409,16.98284,16.60671,9.721275E-05,STAR
20.76718,18.19588,17.0196,16.51475,16.10608,0.1307254,GALAXY
19.59882,18.27969,17.68823,17.46187,17.32273,-0.0002348719,STAR
20.22875,18.89038,18.17219,17.73882,17.4926,0.126912,GALAXY
21.44778,18.84953,17.72303,17.27145,17.00578,9.019992E-05,STAR
24.3641,21.28883,19.35052,18.69348,18.29095,0.3596345,GALAXY
23.74044,24.7902,21.65145,20.59859,19.99741,0.5810537,GALAXY
21.57152,19.67509,18.33681,17.82029,17.44907,0.1848957,GALAXY
20.67735,19.61537,18.90911,18.56045,18.2883,0.243292,GALAXY
22.78371,20.55237,18.66662,17.96831,17.54446,0.396473,GALAXY
21.37216,18.90944,17.6344,17.08266,16.68899,0.1812312,GALAXY
20.55116,19.48734,18.80186,18.36179,18.10075,0.1799934,GALAXY
23.52277,20.01658,18.40653,17.81374,17.41288,0.2397029,GALAXY
23.12027,21.30252,19.82694,19.24326,18.84277,0.215757,GALAXY
25.16475,22.05796,20.39417,18.94487,18.16151,-2.041164E-05,STAR
23.18928,20.90349,19.58338,18.96074,18.63707,0.0002823317,STAR
20.82945,19.13505,18.26146,17.79781,17.35106,0.1037631,GALAXY
21.72919,21.38628,21.01837,21.1596,20.98085,2.353887,QSO
21.59535,20.82349,19.77032,19.29863,18.93533,0.3927596,GALAXY
25.49852,22.36348,20.54359,19.70984,19.23042,0.4550069,GALAXY
22.12934,20.86755,20.68267,20.67423,20.61867,-0.0004037181,STAR
21.74585,20.65562,20.19584,20.06871,20.03043,-0.0002397908,STAR
22.11466,21.52247,21.38193,21.33776,20.66855,2.231342,QSO
23.15589,21.40555,19.45658,18.7646,18.32302,0.3977073,GALAXY
23.50196,22.78227,20.90375,19.76108,19.06234,0.5802187,GALAXY
22.9555,21.89321,19.85824,19.0929,18.5695,0.3970193,GALAXY
22.24607,20.81911,19.77798,19.40336,18.89734,0.3169024,GALAXY
23.39084,21.37267,19.75908,19.06094,18.53996,0.398666,GALAXY
24.53823,21.51916,19.93631,19.23425,18.71208,0.3921897,GALAXY
21.59545,20.20704,19.34494,18.83563,18.4907,0.1811624,GALAXY
24.02293,22.29473,20.50545,19.86788,19.40129,0.3982463,GALAXY
24.4223,22.93605,21.03657,19.81199,19.05802,0.0002081298,STAR
25.41293,22.08235,19.95477,19.25368,18.8364,0.3977423,GALAXY
24.59949,21.81544,20.30519,19.18724,18.69796,0.5671579,GALAXY
27.24833,20.85331,18.95358,18.23055,17.72881,0.3975553,GALAXY
24.32445,21.97026,20.27485,19.47539,19.04243,0.3953116,GALAXY
22.79887,22.16278,21.74392,21.81349,21.41834,1.049494,QSO
24.00118,22.7405,21.21037,20.36535,19.89311,4.90226,QSO
23.63531,22.1892,21.8878,21.95297,21.80703,-0.003057969,STAR
23.04868,21.56994,21.05289,20.91683,20.60554,-0.0003205835,STAR
22.58788,20.98662,19.76444,19.2643,18.89862,0.1864631,GALAXY
23.54535,21.81863,20.05108,19.4005,19.13259,0.4084021,GALAXY
24.9307,23.29631,22.24422,20.84075,20.29824,0.6659651,GALAXY
24.7374,22.7428,21.34921,20.30163,19.68629,0.5794256,GALAXY
24.01616,22.14951,20.60821,19.21807,18.54169,0.7042495,GALAXY
26.23555,22.59004,20.55509,19.40636,18.83904,0.5795695,GALAXY
24.93892,22.44634,20.30031,19.44703,19.03988,0.3846303,GALAXY
23.79586,22.5091,21.00957,19.82984,19.39475,0.5786268,GALAXY
23.76874,19.94615,19.19809,18.5414,18.32019,0.1826177,GALAXY
18.39997,17.01328,16.47039,16.2556,16.15533,7.545306E-05,STAR
19.51782,17.10884,15.99188,15.55249,15.29628,1.603434E-05,STAR
20.89159,19.68915,19.61545,19.6746,19.6302,0.0002009674,STAR
18.41458,17.24187,16.83248,16.69045,16.63555,-0.0001915039,STAR
20.13583,19.77899,19.76218,19.41761,19.30003,0.5775395,QSO
23.95148,21.17665,19.88934,19.3596,19.19229,0.1847329,GALAXY
20.39137,17.87138,16.34724,15.44977,14.95134,0.0001324918,STAR
20.96473,18.57889,17.2387,16.7218,16.41594,0.1844593,GALAXY
21.25649,18.50552,17.13887,16.5594,16.24788,-6.02297E-05,STAR
20.78828,19.58437,19.25841,19.08373,19.02986,0.0001410704,STAR
21.30572,19.15275,17.79456,17.22039,16.8038,0.1844395,GALAXY
19.3949,17.55328,16.67647,16.23977,15.92742,0.04000779,GALAXY
20.37353,19.03626,18.51064,18.31221,18.23683,1.835101E-05,STAR
20.07447,17.90642,16.58882,16.07585,15.70609,0.1832486,GALAXY
21.25882,19.13454,17.86753,17.35438,16.97957,0.1829304,GALAXY
21.19376,19.20882,18.42801,18.13704,18.01182,0.000119138,STAR
24.0162,22.56933,21.07136,19.09872,18.05542,9.772635E-05,STAR
20.95014,19.81538,19.06495,18.66952,18.42819,0.1853241,GALAXY
22.47428,19.98815,18.64019,18.0445,17.63032,0.1860522,GALAXY
21.54328,19.41369,18.11664,17.62408,17.25345,0.1834567,GALAXY
24.80327,20.77781,19.22238,18.64505,18.31422,0.3102977,GALAXY
23.2301,20.27926,19.03009,18.51184,18.25377,0.1857025,GALAXY
22.67183,20.81278,19.55056,19.04323,18.70823,0.1838152,GALAXY
21.24266,20.55433,19.67044,19.32725,19.02666,0.5146312,GALAXY
20.59144,19.25844,18.28189,17.80527,17.48407,0.1909035,GALAXY
22.21777,20.35271,19.02954,18.50294,18.08986,0.1827142,GALAXY
22.33731,20.61981,19.10922,18.56977,18.18123,0.2305482,GALAXY
25.38015,22.25739,20.65294,19.77311,19.27478,0.5045489,GALAXY
21.88238,21.27901,20.24718,19.91828,19.52138,0.3796674,GALAXY
21.98233,20.66377,19.7357,19.28079,18.91837,0.2169781,GALAXY
21.08172,20.32843,19.83448,19.54477,19.47716,0.1851616,GALAXY
23.00294,22.34879,20.3987,19.47902,18.96156,0.4562441,GALAXY
23.91242,22.02652,21.79087,21.50592,21.165,-0.004136076,STAR
22.63942,21.86946,20.13576,19.14553,18.71167,0.5698407,GALAXY
24.32843,22.58307,22.59048,22.29058,23.12619,6.914485,QSO
23.06528,22.34091,20.31246,19.24932,19.06073,0.5685632,GALAXY
25.67104,22.6802,21.25917,20.26896,19.56991,0.001915723,QSO
23.69652,23.09242,21.211,19.95561,19.46692,0.6354463,GALAXY
22.98825,22.18423,20.48058,19.46107,18.87148,0.4953335,GALAXY
24.97086,22.38438,20.71063,19.7485,19.28235,0.4975446,GALAXY
23.67956,23.22392,21.33096,20.22144,19.54324,0.5691597,GALAXY
23.13898,22.65962,20.51963,19.59412,19.20567,0.4962566,GALAXY
25.42714,22.5115,20.60019,19.6831,19.09056,0.5129635,GALAXY
18.52236,17.25557,16.70039,16.486,16.41004,0.0001053587,STAR
23.24446,20.99741,19.20295,18.56181,18.18117,0.3139554,GALAXY
21.16008,18.48807,17.09154,16.53776,16.13377,0.1841175,GALAXY
20.82224,18.86152,17.4989,16.94771,16.54756,0.1812266,GALAXY
20.50715,18.44307,17.18532,16.65098,16.23933,0.1621967,GALAXY
21.50781,18.61365,17.02549,15.87776,15.27503,-0.0001400897,STAR
19.03764,17.41195,16.69575,16.31307,16.03388,0.04860179,GALAXY
20.41778,19.31815,18.67477,18.26591,18.10361,0.1373549,GALAXY
25.54746,21.22983,19.28954,18.67319,18.3782,0.4025879,GALAXY
20.68697,20.36523,20.23153,19.96673,19.89363,1.72036,QSO
22.99783,21.1567,19.84699,19.32379,18.97255,0.182191,GALAXY
22.74521,20.29418,19.03216,18.56962,18.14954,0.1621539,GALAXY
22.07823,19.66875,18.34503,17.81798,17.46614,0.2253959,GALAXY
19.34081,17.4364,16.26172,15.73096,15.39041,0.1860474,GALAXY
20.69638,19.33611,18.53792,18.13661,17.91248,0.09915269,GALAXY
26.2797,20.87337,19.15388,18.53057,18.07325,0.3171095,GALAXY
21.69823,20.10343,18.54354,17.94155,17.67414,0.3154797,GALAXY
22.58438,20.53828,18.69101,18.09373,17.65372,0.3151493,GALAXY
21.73088,19.8893,18.93488,18.44586,18.09002,0.1638217,GALAXY
21.52278,20.36791,19.33422,18.77703,18.40238,0.2498002,GALAXY
23.88864,21.19577,19.38785,18.5526,18.09065,0.4561903,GALAXY
23.50669,22.24023,20.68624,19.14041,18.2871,0.0002649389,STAR
22.0437,21.22304,20.88745,20.69066,20.34493,0.6737723,QSO
20.73566,20.08775,19.44775,19.24048,18.60365,0.3131043,GALAXY
22.71255,21.49312,20.67072,20.32816,20.17395,0.000760598,STAR
22.96242,21.94925,21.34341,21.26385,20.9623,0.7440291,GALAXY
22.69194,21.12053,19.8716,19.33485,18.95879,0.182869,GALAXY
24.08898,21.15633,19.88849,19.3975,19.05755,0.1828169,GALAXY
21.68526,20.48018,19.65354,19.38888,19.01658,0.2931361,GALAXY
23.94382,22.02389,21.65681,21.62749,21.41996,2.347687,QSO
24.37905,24.35947,21.62184,20.45151,19.7909,0.0002843861,STAR
23.9021,22.07004,20.47582,19.61642,19.12892,0.501227,GALAXY
22.36359,20.69096,19.66726,19.26565,18.95649,0.3164749,GALAXY
23.3597,21.9118,21.67456,21.23199,21.64999,0.06694666,GALAXY
25.08886,23.00379,21.27265,20.26876,19.63879,0.491854,GALAXY
22.04002,20.89128,19.66231,19.24938,18.88121,0.2929294,GALAXY
24.88469,22.77426,21.07684,20.23547,19.90468,0.5213408,GALAXY
23.96379,22.65586,21.93662,21.78704,21.43143,0.1833073,GALAXY
21.58302,20.19679,19.42507,19.00087,18.83958,0.183607,GALAXY
19.10682,17.91204,17.40367,17.19505,17.11047,-0.000192821,STAR
19.09904,17.22988,16.49899,16.22672,16.09269,0.0001031549,STAR
23.34777,19.28901,17.99068,17.45583,17.07567,0.1812876,GALAXY
21.68183,19.91166,18.33345,17.70133,17.31285,0.2285849,GALAXY
20.17549,19.01712,18.5431,18.26763,18.08782,0.1151391,GALAXY
22.05608,19.28059,17.75427,16.64169,16.04539,0.0002230275,STAR
20.85691,19.09704,18.00133,17.45317,17.13847,0.1868404,GALAXY
20.474,19.14342,18.25744,17.84697,17.58688,0.2168064,GALAXY
22.94392,20.45565,18.95458,18.24301,17.7777,0.2307165,GALAXY
20.71475,19.82537,19.00415,18.5677,18.40964,0.1765389,GALAXY
23.00507,20.63157,18.97967,18.32795,17.88997,0.2200817,GALAXY
24.91441,22.10168,20.60601,19.31625,18.57018,-6.006011E-06,STAR
20.78444,19.47099,19.05324,18.69145,18.55573,0.07032809,GALAXY
25.42673,21.63398,20.21875,19.33807,18.82042,0.3312946,GALAXY
22.09743,20.72988,19.75246,19.23258,18.95795,0.1760887,GALAXY
23.82093,21.39742,19.7952,19.15801,18.7166,0.3148333,GALAXY
23.26508,21.52377,20.03023,19.52745,19.11522,0.2272995,GALAXY
21.4014,20.12803,19.01159,18.44381,18.09014,0.2495409,GALAXY
22.83155,21.09045,20.3864,20.13076,20.01973,-0.0001126631,STAR
22.26806,20.35774,19.13349,18.43618,17.94427,0.1837924,GALAXY
18.52316,16.42145,15.39282,14.8915,14.48816,0.03984664,GALAXY
17.86614,15.8951,14.91003,14.40679,14.0132,0.0393708,GALAXY
22.59639,21.01503,20.28582,19.82197,19.65602,0.185535,GALAXY
21.34586,18.8662,17.47985,16.92707,16.55349,0.1819576,GALAXY
20.88867,19.39176,18.36073,17.84138,17.47534,0.1844647,GALAXY
20.07927,18.44809,17.73972,17.36158,17.0703,0.07041505,GALAXY
21.09394,20.03099,19.35211,18.97418,18.88927,0.1871004,GALAXY
20.61522,18.63779,17.72062,17.16121,16.71248,0.04014628,GALAXY
21.8939,19.93049,18.57399,17.99049,17.55542,0.1826794,GALAXY
21.41978,19.23645,17.96312,17.42695,17.07491,0.1780132,GALAXY
25.02629,20.83391,18.95034,18.18571,17.74074,0.296161,GALAXY
20.92931,19.67868,18.79902,18.27055,17.96613,0.1864432,GALAXY
22.41738,20.65162,19.66262,19.22581,18.69498,0.1350555,GALAXY
22.54583,20.79079,19.65368,19.12189,18.76318,0.1824066,GALAXY
21.7782,20.74797,19.90238,19.48775,19.19659,0.1855114,GALAXY
22.99902,20.04144,19.56571,19.22799,19.36377,0.04007165,GALAXY
22.16943,20.664,19.62571,19.12266,18.87932,0.2212155,GALAXY
22.2929,20.03309,18.88325,18.30306,17.92138,0.1788832,GALAXY
20.5809,18.38217,17.39469,17.01939,16.76477,0.0001091635,STAR
23.04094,20.48079,19.1805,18.66952,18.26074,0.1817484,GALAXY
21.16588,20.25155,19.23164,18.57921,18.39667,0.1793029,QSO
20.64724,18.81415,17.56218,17.01906,16.6276,0.1799167,GALAXY
20.47414,19.29011,18.39356,17.91655,17.60831,0.1847041,GALAXY
22.41338,20.31424,18.8083,18.18129,17.75199,0.1783999,GALAXY
20.35688,18.11047,16.6618,16.05377,15.61715,0.184636,GALAXY
26.11829,21.02382,19.53866,18.8838,18.42964,0.1841236,GALAXY
22.3924,20.11794,18.63733,18.03223,17.65317,0.1835186,GALAXY
22.43979,20.14988,18.80976,18.19767,17.77867,0.1788761,GALAXY
23.17451,21.26408,19.57078,18.51824,17.9231,-1.804971E-05,STAR
21.05891,19.57101,18.62715,18.07867,17.74334,0.1796971,GALAXY
21.85839,20.66876,19.81018,19.33396,19.05765,0.2813382,GALAXY
21.37145,19.89609,19.49355,19.27554,19.1697,0.03926044,GALAXY
26.54113,21.27205,20.36201,19.99268,19.33675,0.1788102,GALAXY
22.85163,21.45463,20.05753,19.51223,19.14979,0.1829133,GALAXY
21.8884,19.74313,19.08124,18.84448,18.47484,0.04008322,GALAXY
22.17105,19.69867,19.24985,19.61302,19.41306,0.01949213,GALAXY
19.92904,17.70292,16.6648,16.14216,15.78735,0.03979781,GALAXY
