#Table1
u,g,r,i,z,redshift,class
22.02452,20.925,19.74058,19.23929,18.84511,0.3616371,GALAXY
22.1916,21.11599,20.08304,19.57032,19.05955,0.2699885,GALAXY
21.18203,20.00773,18.98668,18.46308,18.20817,0.2330052,GALAXY
23.75616,22.49737,20.55482,19.5497,19.06884,0.5074175,GALAXY
22.56085,20.9637,19.7743,19.40597,18.82285,0.3083879,GALAXY
21.72765,20.87591,19.47204,18.94223,18.60406,0.2457161,GALAXY
18.83897,17.63091,17.09078,16.84627,16.71464,8.889643E-05,STAR
18.21801,15.95427,14.95673,14.59481,14.36269,-2.619098E-05,STAR
20.8444,18.73602,17.44259,16.77572,16.33969,0.1314003,GALAXY
21.90292,19.43848,18.09329,17.61892,17.06034,0.1306191,GALAXY
19.73725,19.4862,19.04919,18.85514,18.79748,1.429148,QSO
20.25136,18.69544,17.88887,17.43269,17.14268,0.1318834,GALAXY
21.47253,19.8225,18.6819,18.14411,17.76768,0.1353511,GALAXY
22.81235,21.48987,20.04629,19.59547,18.99735,0.2418127,GALAXY
21.36971,19.8243,18.92685,18.33403,18.00107,0.1318457,GALAXY
21.13612,19.83283,19.15413,18.71026,18.50585,0.132174,GALAXY
21.24216,20.18587,19.36745,18.83952,18.56272,0.1351828,GALAXY
24.02369,21.91687,20.28049,19.21333,18.65386,0.5009795,GALAXY
22.52548,22.23056,20.09829,19.02595,18.3422,0.5054128,GALAXY
24.35701,22.49514,20.3319,19.28329,18.71613,0.4737468,GALAXY
24.20345,24.53743,21.62383,20.44507,20.40582,0.0002609348,STAR
21.52771,20.26473,19.55693,19.1268,18.86871,0.1588084,GALAXY
20.09053,18.59606,17.84047,17.39025,17.1036,0.1249654,GALAXY
21.19587,19.28557,18.20333,17.63428,17.28471,0.1725226,GALAXY
21.0911,19.64805,18.6079,18.06926,17.59928,0.2349057,GALAXY
21.6652,20.27332,19.45184,19.03989,18.6847,0.1252175,GALAXY
23.4214,20.59702,19.74972,19.31616,19.08722,0.132197,GALAXY
21.41442,20.39729,19.33007,18.83863,18.31886,0.2337731,GALAXY
17.68076,17.32501,17.1707,17.08611,17.03252,0.6822563,QSO
22.28006,19.88432,18.452,17.8343,17.41785,0.2464816,GALAXY
16.93403,15.38486,14.69913,14.44319,14.33092,0.0001166088,STAR
22.19689,19.6663,18.3876,17.53941,17.1504,7.551349E-05,STAR
20.30746,19.95838,19.73298,19.47332,19.4019,1.547692,QSO
20.2789,20.04589,19.51152,19.43904,19.38451,1.244225,QSO
21.10596,18.82472,17.4814,16.91919,16.46698,0.1671959,GALAXY
20.57331,18.70531,17.68302,17.17095,16.76792,0.1345017,GALAXY
20.91702,19.75148,19.01481,18.60482,18.32499,0.1723519,GALAXY
20.39181,18.90447,18.29212,17.89178,17.68533,0.08220381,GALAXY
22.55081,21.3328,20.05217,19.59954,19.16396,0.1671552,GALAXY
